pipeline,seed,best_params,acc,macro_precision,macro_recall,macro_f1,train_s,infer_ms_per_img
A_PCA+LinearSVM,42,"{'pca__n_components': 40, 'svm__C': 0.1}",0.9833333333333333,0.9875,0.9833333333333334,0.9828571428571429,0.8522586550000142,0.3329924583330997
A_PCA+LinearSVM,123,"{'pca__n_components': 40, 'svm__C': 0.1}",0.925,0.9375,0.925,0.9185714285714285,0.7809355530000062,0.42321879166659454
A_PCA+LinearSVM,256,"{'pca__n_components': 40, 'svm__C': 0.1}",0.9833333333333333,0.9875,0.9833333333333332,0.9828571428571429,0.9797502949999739,0.3095890666666416
A_PCA+LinearSVM,789,"{'pca__n_components': 60, 'svm__C': 0.1}",0.975,0.98125,0.975,0.9742857142857144,1.0334248099999854,0.21574863333313488
A_PCA+LinearSVM,1024,"{'pca__n_components': 40, 'svm__C': 0.1}",0.95,0.9604166666666666,0.95,0.9488095238095238,0.6823431480000295,0.17100945833353381
B_ResNet18Embeddings+LinearSVM,42,{'svm__C': 0.1},1.0,1.0,1.0,1.0,0.03605504700010442,0.09198417500044798
B_ResNet18Embeddings+LinearSVM,123,{'svm__C': 0.1},1.0,1.0,1.0,1.0,0.050816421000035916,0.10805619999985083
B_ResNet18Embeddings+LinearSVM,256,{'svm__C': 0.1},0.9833333333333333,0.9875,0.9833333333333332,0.9828571428571429,0.05030026800000087,0.10105409999994208
B_ResNet18Embeddings+LinearSVM,789,{'svm__C': 0.1},0.975,0.98375,0.975,0.9726785714285715,0.05131134100008694,0.1050934916662527
B_ResNet18Embeddings+LinearSVM,1024,{'svm__C': 0.1},0.9666666666666667,0.975,0.9666666666666668,0.9632142857142858,0.034239834999993946,0.08096089166637437
